player Name,High Score *
SR Tendulkar (IND),248*
RT Ponting (AUS),
JH Kallis (ICC/SA),
R Dravid (ICC/IND),
AN Cook (ENG),
KC Sangakkara (SL),
BC Lara (ICC/WI),400*
S Chanderpaul (WI),203*
DPMD Jayawardene (SL),
AR Border (AUS),
SR Waugh (AUS),
JE Root (ENG),
SM Gavaskar (IND),236*
Younis Khan (PAK),
HM Amla (SA),311*
GC Smith (ICC/SA),
GA Gooch (ENG),
Javed Miandad (PAK),280*
Inzamam-ul-Haq (ICC/PAK),
VVS Laxman (IND),
AB de Villiers (SA),278*
MJ Clarke (AUS),329*
ML Hayden (AUS),
V Sehwag (ICC/IND),
IVA Richards (WI),
AJ Stewart (ENG),
SPD Smith (AUS),
DI Gower (ENG),
KP Pietersen (ENG),
G Boycott (ENG),246*
V Kohli (IND),254*
GS Sobers (WI),365*
ME Waugh (AUS),153*
DA Warner (AUS),335*
MA Atherton (ENG),185*
IR Bell (ENG),
JL Langer (AUS),
LRPL Taylor (NZ),
MC Cowdrey (ENG),
CG Greenidge (WI),
Mohammad Yousuf (PAK),
MA Taylor (AUS),334*
CH Lloyd (WI),242*
DL Haynes (WI),
DC Boon (AUS),
KS Williamson (NZ),
G Kirsten (SA),
WR Hammond (ENG),336*
CH Gayle (WI),
SC Ganguly (IND),
